source_unit,name,age,description,geomaterial
52|TKu,Lower Tertiary-Cretaceous undifferentiated,Lower Tertiary to Cretaceous,"As mapped includes Middendorf Formation (Sloan, 1904); ""Channel Sands"" (LaMoreaux, 1946); Tuscaloosa Formation (Cooke, 1939); and ""Huber beds"" (Buie, informal terminology)",Clastic sedimentary rock
52|Tpps,Pleistocene-Pliocene sands and gravels,Pleistocene to Pliocene,"Includes, in part, Sunderland, Coharie, and Brandywine ""Formations"" of Cooke, 1939",Sand and gravel of unspecified origin
52|pm4,Mica schist / Metasiltstone,Precambrian to Paleozoic,,Metasedimentary rock
52|Qpni,Barrier island facies,Pleistocene,,"Coastal zone sediment, mostly coarse-grained"
52|q3,Epidote quartzite / Amphibolite / Sericite schist / Biotite granite gneiss,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|mp2,Gabbro,Precambrian to Paleozoic,,"Coarse-grained, mafic-composition intrusive igneous rock"
52|pms8,Cross-biotite schist,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|pa1,Aluminous schist,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|gr1,"Granite, undifferentiated",Precambrian and/or Paleozoic,,"Coarse-grained, felsic-composition intrusive igneous rock"
52|Mfp,Fort Payne Chert,Mississippian,,Chert
52|CAcdl,Lower dolostone unit,Cambrian,,Dolomite
52|m2,Calcareous mica schist / Micaceous marble / Mica schist,Precambrian to Paleozoic,,Metasedimentary rock
52|PNlg,Gizzard Formation,Pennsylvanian,,Sandstone and mudstone
52|pm3a,Metagraywacke / Mica schist-quartzite / Amphibolite,Precambrian to Paleozoic,,Metasedimentary rock
52|Tru,"Eocene and Oligocene Residuum, undifferentiated",Eocene to Oligocene,,Residual material
52|CAch,Chilhowee Formation,Cambrian,"Includes Weisner Formation of Kesler, 1950",Sandstone and mudstone
52|Tu1,Neogene undifferentiated,Neogene,"Includes Altamaha Grit (Dall, 1892); Citronelle Formation (Matson & Berry, 1916); and ""Hawthorn Formation"" (Cooke, 1939). (*) - outcrops of indurated sandstone and claystone",Sandstone and mudstone
52|gr2,Granite / Granite gneiss,Precambrian and/or Paleozoic,,"Coarse-grained, felsic-composition intrusive igneous rock"
52|Qpmm,Marsh and lagoonal facies,Pleistocene,,"Coastal zone sediment, mostly fine-grained"
52|fg4,Biotitic gneiss / Amphibolite,Precambrian and/or Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|Tli,Lisbon Formation,Eocene,,Mostly sandstone
52|mm5,Hornblende-biotite gneiss / Amphibolite,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|Oum,Upper and Middle Ordovician rocks,Ordovician,"Includes Sequatchie Limestone, Murfreesboro Limestone, Ridley Limestone, Moccasin Limestone and Bays Formation.",Mostly carbonate rock
52|Qpmi,Barrier island facies,Pleistocene,,"Coastal zone sediment, mostly coarse-grained"
52|Ttw,Twiggs Clay,Eocene,,Mostly mudstone
52|Qpd,Parabolic dunes,Quaternary,,Dune sand
52|pms6c,Sericite schist / Micaceous quartzite / Sericite phyllite,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
